observation_time,temperature,windspeed
2026-09-03 20:15:00,18.4,17.6
2026-09-03 20:15:00,18.4,17.6
2026-09-03 20:15:00,18.6,19.1
2026-09-03 20:15:00,18.6,19.1
2026-09-03 20:15:00,18.6,19.1
2026-09-03 21:15:00,17.8,16.6
2026-09-03 21:15:00,17.8,16.6
2026-09-07 08:15:00,15.9,13.0
2026-09-07 08:15:00,15.9,13.0
2026-09-07 09:00:00,16.5,13.7
2026-09-07 09:00:00,16.5,13.7
2026-09-07 09:00:00,16.5,13.7
2026-09-07 10:45:00,17.5,14.0
2026-09-07 10:45:00,17.5,14.0
2026-09-07 10:45:00,17.5,14.0
2026-09-07 10:45:00,17.5,14.0
2026-09-07 11:00:00,17.7,13.7
2026-09-07 11:45:00,18.1,13.0
2026-09-07 12:00:00,18.3,12.6
2026-09-07 12:00:00,18.3,12.6
2026-09-07 12:15:00,18.5,11.9
2026-09-07 12:30:00,18.8,11.2
2026-09-07 12:45:00,19.1,10.8
2026-09-07 12:45:00,19.1,10.8
2026-09-07 12:45:00,19.1,10.8
2026-09-07 12:45:00,19.1,10.8
2026-09-07 13:00:00,19.3,10.8
2026-09-07 14:00:00,20.8,16.6
2026-09-07 15:00:00,21.0,19.4
2026-09-07 15:00:00,21.0,19.4
2026-09-07 15:15:00,20.9,20.5
2026-09-07 15:45:00,20.8,20.2
2026-09-07 16:00:00,20.7,20.2
2026-09-07 16:00:00,20.7,20.2
